"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2018-19","Atkinson County","Willacoochee Elementary School","Teachers","Total",16.4,5.4,33
"2018-19","Atlanta Public Schools","APS-Forrest Hills Academy","Leaders","Low Poverty",2,0.5,25
"2018-19","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","High Poverty",43.2,35.1,81
"2018-19","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",43.2,35.1,81
"2018-19","Atlanta Public Schools","Atlanta Classical Academy","Leaders","Low Poverty",1.5,1.5,100
"2018-19","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",62,45,73
"2018-19","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",62,45,73
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Leaders","High Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",38,23,61
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",38,23,61
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",28,16,57
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",28,16,57
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","High Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Low Poverty",121.3,60.3,50
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Total",139.3,68.8,49
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",4856.4,2466.7,51
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",977.1,425.9,44
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",6127.2,3077.3,50
"2018-19","Atlanta Public Schools","B.E.S.T Academy","Leaders","Low Poverty",2,0.5,25
"2018-19","Atlanta Public Schools","B.E.S.T Academy","Teachers","High Poverty",68.1,50.1,74
"2018-19","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",68.1,50.1,74
"2018-19","Atlanta Public Schools","Barack and Michelle Obama Academy","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","High Poverty",45.1,35.1,78
"2018-19","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",45.1,35.1,78
"2018-19","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","High Poverty",79.5,64.5,81
"2018-19","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",79.5,64.5,81
"2018-19","Atlanta Public Schools","Beecher Hills Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","High Poverty",41.5,24,58
"2018-19","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",41.5,24,58
"2018-19","Atlanta Public Schools","Benteen Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Benteen Elementary School","Teachers","High Poverty",45.6,37.6,82
"2018-19","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",45.6,37.6,82
"2018-19","Atlanta Public Schools","Bolton Academy","Leaders","Not Applicable",1,0.5,50
"2018-19","Atlanta Public Schools","Bolton Academy","Teachers","Total",68,49,72
"2018-19","Atlanta Public Schools","Booker T. Washington High School","Leaders","Low Poverty",2.5,0,0
"2018-19","Atlanta Public Schools","Booker T. Washington High School","Teachers","High Poverty",121.5,95.1,78
"2018-19","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",121.5,95.1,78
"2018-19","Atlanta Public Schools","Boyd Elementary School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Boyd Elementary School","Teachers","High Poverty",68,54,79
"2018-19","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",68,54,79
"2018-19","Atlanta Public Schools","Brandon Elementary School","Leaders","Not Applicable",1.5,0.5,33
"2018-19","Atlanta Public Schools","Brandon Elementary School","Teachers","Low Poverty",79,36,46
"2018-19","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",79,36,46
"2018-19","Atlanta Public Schools","Brown Middle School","Leaders","Low Poverty",2,0.5,25
"2018-19","Atlanta Public Schools","Brown Middle School","Teachers","High Poverty",63.3,48.3,76
"2018-19","Atlanta Public Schools","Brown Middle School","Teachers","Total",63.3,48.3,76
"2018-19","Atlanta Public Schools","Bunche Middle School","Leaders","Low Poverty",2.5,0.5,20
"2018-19","Atlanta Public Schools","Bunche Middle School","Teachers","High Poverty",82.8,58.8,71
"2018-19","Atlanta Public Schools","Bunche Middle School","Teachers","Total",82.8,58.8,71
"2018-19","Atlanta Public Schools","Burgess-Peterson Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","High Poverty",55,34.2,62
"2018-19","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",55,34.2,62
"2018-19","Atlanta Public Schools","Carver High School","Leaders","Low Poverty",2,2,100
"2018-19","Atlanta Public Schools","Carver High School","Teachers","High Poverty",93,93,100
"2018-19","Atlanta Public Schools","Carver High School","Teachers","Total",93,93,100
"2018-19","Atlanta Public Schools","Cascade Elementary School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Cascade Elementary School","Teachers","High Poverty",60.1,45,75
"2018-19","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",60.1,45,75
"2018-19","Atlanta Public Schools","Centennial Academy","Leaders","Low Poverty",2.5,2,80
"2018-19","Atlanta Public Schools","Centennial Academy","Teachers","High Poverty",100,80,80
"2018-19","Atlanta Public Schools","Centennial Academy","Teachers","Total",100,80,80
"2018-19","Atlanta Public Schools","Charles Drew Charter School JA/SA","Leaders","Not Applicable",2,0.5,25
"2018-19","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",95.8,77.8,81
"2018-19","Atlanta Public Schools","Charles R. Drew Charter School","Leaders","Not Applicable",1.5,0.5,33
"2018-19","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Low Poverty",84,47,56
"2018-19","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",84,47,56
"2018-19","Atlanta Public Schools","Cleveland Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Cleveland Elementary School","Teachers","High Poverty",46.9,30.1,64
"2018-19","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total",46.9,30.1,64
"2018-19","Atlanta Public Schools","Continental Colony Elementary School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Continental Colony Elementary School","Teachers","High Poverty",46.5,30,65
"2018-19","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total",46.5,30,65
"2018-19","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Leaders","Low Poverty",2,0,0
"2018-19","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","High Poverty",65.3,46.5,71
"2018-19","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total",65.3,46.5,71
"2018-19","Atlanta Public Schools","Crim High School","Leaders","Low Poverty",1.5,0,0
"2018-19","Atlanta Public Schools","Crim High School","Teachers","High Poverty",57.2,48,84
"2018-19","Atlanta Public Schools","Crim High School","Teachers","Total",57.2,48,84
"2018-19","Atlanta Public Schools","Deerwood Academy School","Leaders","Low Poverty",1.5,0.5,33
"2018-19","Atlanta Public Schools","Deerwood Academy School","Teachers","High Poverty",69.5,46.5,67
"2018-19","Atlanta Public Schools","Deerwood Academy School","Teachers","Total",69.5,46.5,67
"2018-19","Atlanta Public Schools","Dobbs Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Dobbs Elementary School","Teachers","High Poverty",62,44.1,71
"2018-19","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total",62,44.1,71
"2018-19","Atlanta Public Schools","Douglass High School","Leaders","Low Poverty",2.5,1.5,60
"2018-19","Atlanta Public Schools","Douglass High School","Teachers","High Poverty",126,90.7,72
"2018-19","Atlanta Public Schools","Douglass High School","Teachers","Total",126,90.7,72
"2018-19","Atlanta Public Schools","Dunbar Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Dunbar Elementary School","Teachers","High Poverty",39.4,25.4,64
"2018-19","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total",39.4,25.4,64
"2018-19","Atlanta Public Schools","Early College High School at Carver","Leaders","Low Poverty",1.5,0.5,33
"2018-19","Atlanta Public Schools","Early College High School at Carver","Teachers","High Poverty",67.3,56.1,83
"2018-19","Atlanta Public Schools","Early College High School at Carver","Teachers","Total",67.3,56.1,83
"2018-19","Atlanta Public Schools","F. L. Stanton Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","High Poverty",54,44.5,82
"2018-19","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total",54,44.5,82
"2018-19","Atlanta Public Schools","Fain Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Fain Elementary School","Teachers","High Poverty",64.2,58.2,91
"2018-19","Atlanta Public Schools","Fain Elementary School","Teachers","Total",64.2,58.2,91
"2018-19","Atlanta Public Schools","Fickett Elementary School","Leaders","Low Poverty",1.5,1,67
"2018-19","Atlanta Public Schools","Fickett Elementary School","Teachers","High Poverty",59.5,41,69
"2018-19","Atlanta Public Schools","Fickett Elementary School","Teachers","Total",59.5,41,69
"2018-19","Atlanta Public Schools","Finch Elementary","Leaders","Low Poverty",1.5,1,67
"2018-19","Atlanta Public Schools","Finch Elementary","Teachers","High Poverty",71.2,54.2,76
"2018-19","Atlanta Public Schools","Finch Elementary","Teachers","Total",71.2,54.2,76
"2018-19","Atlanta Public Schools","Garden Hills Elementary School","Leaders","Not Applicable",1,0.5,50
"2018-19","Atlanta Public Schools","Garden Hills Elementary School","Teachers","Total",62,35,56
"2018-19","Atlanta Public Schools","Gideons Elementary School","Leaders","Low Poverty",2.5,1.5,60
"2018-19","Atlanta Public Schools","Gideons Elementary School","Teachers","High Poverty",89,88,99
"2018-19","Atlanta Public Schools","Gideons Elementary School","Teachers","Total",89,88,99
"2018-19","Atlanta Public Schools","Grady High School","Leaders","Low Poverty",3,0.5,17
"2018-19","Atlanta Public Schools","Grady High School","Teachers","Low Poverty",133.5,75.5,57
"2018-19","Atlanta Public Schools","Grady High School","Teachers","Total",133.5,75.5,57
"2018-19","Atlanta Public Schools","Harper-Archer Middle School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Harper-Archer Middle School","Teachers","High Poverty",29.4,18.5,63
"2018-19","Atlanta Public Schools","Harper-Archer Middle School","Teachers","Total",29.4,18.5,63
"2018-19","Atlanta Public Schools","Heritage Academy Elementary","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Heritage Academy Elementary","Teachers","High Poverty",67.2,52.2,78
"2018-19","Atlanta Public Schools","Heritage Academy Elementary","Teachers","Total",67.2,52.2,78
"2018-19","Atlanta Public Schools","Hillside Conant School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Hillside Conant School","Teachers","High Poverty",18,14,78
"2018-19","Atlanta Public Schools","Hillside Conant School","Teachers","Total",18,14,78
"2018-19","Atlanta Public Schools","Humphries Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Humphries Elementary School","Teachers","High Poverty",33.6,26,77
"2018-19","Atlanta Public Schools","Humphries Elementary School","Teachers","Total",33.6,26,77
"2018-19","Atlanta Public Schools","Hutchinson Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Hutchinson Elementary School","Teachers","High Poverty",70.4,53,75
"2018-19","Atlanta Public Schools","Hutchinson Elementary School","Teachers","Total",70.4,53,75
"2018-19","Atlanta Public Schools","Inman Middle School","Leaders","Low Poverty",2,1.5,75
"2018-19","Atlanta Public Schools","Inman Middle School","Teachers","Low Poverty",83,48,58
"2018-19","Atlanta Public Schools","Inman Middle School","Teachers","Total",83,48,58
"2018-19","Atlanta Public Schools","Jackson Elementary School","Leaders","Not Applicable",1,0.5,50
"2018-19","Atlanta Public Schools","Jackson Elementary School","Teachers","Low Poverty",61,30,49
"2018-19","Atlanta Public Schools","Jackson Elementary School","Teachers","Total",61,30,49
"2018-19","Atlanta Public Schools","John Lewis Invictus Academy","Leaders","Low Poverty",1.5,1,67
"2018-19","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","High Poverty",51,51,100
"2018-19","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","Total",51,51,100
"2018-19","Atlanta Public Schools","KIPP Atlanta Collegiate","Leaders","Low Poverty",2.5,2,80
"2018-19","Atlanta Public Schools","KIPP Atlanta Collegiate","Teachers","High Poverty",98,81,83
"2018-19","Atlanta Public Schools","KIPP Atlanta Collegiate","Teachers","Total",98,81,83
"2018-19","Atlanta Public Schools","KIPP Soul Primary","Leaders","Not Applicable",1,1,100
"2018-19","Atlanta Public Schools","KIPP Soul Primary","Teachers","Total",7,7,100
"2018-19","Atlanta Public Schools","KIPP Strive Primary","Leaders","Low Poverty",2,1.5,75
"2018-19","Atlanta Public Schools","KIPP Strive Primary","Teachers","High Poverty",30,26,87
"2018-19","Atlanta Public Schools","KIPP Strive Primary","Teachers","Total",30,26,87
"2018-19","Atlanta Public Schools","KIPP VISION","Leaders","Low Poverty",2,2,100
"2018-19","Atlanta Public Schools","KIPP VISION","Teachers","High Poverty",29,23,79
"2018-19","Atlanta Public Schools","KIPP VISION","Teachers","Total",29,23,79
"2018-19","Atlanta Public Schools","KIPP Vision Primary","Leaders","Low Poverty",2,2,100
"2018-19","Atlanta Public Schools","KIPP Vision Primary","Teachers","High Poverty",39,32,82
"2018-19","Atlanta Public Schools","KIPP Vision Primary","Teachers","Total",39,32,82
"2018-19","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Leaders","Low Poverty",1.5,1.5,100
"2018-19","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","High Poverty",30,23,77
"2018-19","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","Total",30,23,77
"2018-19","Atlanta Public Schools","Kimberly Elementary School","Leaders","Low Poverty",1.5,1,67
"2018-19","Atlanta Public Schools","Kimberly Elementary School","Teachers","High Poverty",56.5,46,81
"2018-19","Atlanta Public Schools","Kimberly Elementary School","Teachers","Total",56.5,46,81
"2018-19","Atlanta Public Schools","Kindezi","Leaders","Low Poverty",2,0.5,25
"2018-19","Atlanta Public Schools","Kindezi","Teachers","High Poverty",65.5,46.5,71
"2018-19","Atlanta Public Schools","Kindezi","Teachers","Total",65.5,46.5,71
"2018-19","Atlanta Public Schools","Kindezi Old 4th Ward","Leaders","Low Poverty",2.5,2.5,100
"2018-19","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","High Poverty",79.5,79.5,100
"2018-19","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","Total",79.5,79.5,100
"2018-19","Atlanta Public Schools","King Middle School","Leaders","Low Poverty",2,0,0
"2018-19","Atlanta Public Schools","King Middle School","Teachers","High Poverty",87,58,67
"2018-19","Atlanta Public Schools","King Middle School","Teachers","Total",87,58,67
"2018-19","Atlanta Public Schools","Kipp Strive Academy","Leaders","Not Applicable",2,1.5,75
"2018-19","Atlanta Public Schools","Kipp Strive Academy","Teachers","Total",35.8,29.8,83
"2018-19","Atlanta Public Schools","Kipp WAYS Primary School","Leaders","Low Poverty",2,2,100
"2018-19","Atlanta Public Schools","Kipp WAYS Primary School","Teachers","High Poverty",30,24,80
"2018-19","Atlanta Public Schools","Kipp WAYS Primary School","Teachers","Total",30,24,80
"2018-19","Atlanta Public Schools","Lin Elementary School","Leaders","Not Applicable",1,0,0
"2018-19","Atlanta Public Schools","Lin Elementary School","Teachers","Low Poverty",60.3,33.3,55
"2018-19","Atlanta Public Schools","Lin Elementary School","Teachers","Total",60.3,33.3,55
"2018-19","Atlanta Public Schools","Long Middle School","Leaders","Low Poverty",1.5,0.5,33
"2018-19","Atlanta Public Schools","Long Middle School","Teachers","High Poverty",78,49,63
"2018-19","Atlanta Public Schools","Long Middle School","Teachers","Total",78,49,63
"2018-19","Atlanta Public Schools","M. A. Jones Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","M. A. Jones Elementary School","Teachers","High Poverty",74.5,57.5,77
"2018-19","Atlanta Public Schools","M. A. Jones Elementary School","Teachers","Total",74.5,57.5,77
"2018-19","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Leaders","Low Poverty",2.5,1,40
"2018-19","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Teachers","High Poverty",155.2,116.2,75
"2018-19","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Teachers","Total",155.2,116.2,75
"2018-19","Atlanta Public Schools","Mays High School","Leaders","Low Poverty",3.5,1.5,43
"2018-19","Atlanta Public Schools","Mays High School","Teachers","High Poverty",136.3,81.3,60
"2018-19","Atlanta Public Schools","Mays High School","Teachers","Total",136.3,81.3,60
"2018-19","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Teachers","High Poverty",96.8,96.8,100
"2018-19","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Teachers","Total",96.8,96.8,100
"2018-19","Atlanta Public Schools","Miles Intermediate School","Leaders","Low Poverty",1.5,1,67
"2018-19","Atlanta Public Schools","Miles Intermediate School","Teachers","High Poverty",76,66,87
"2018-19","Atlanta Public Schools","Miles Intermediate School","Teachers","Total",76,66,87
"2018-19","Atlanta Public Schools","Morningside Elementary School","Leaders","Not Applicable",1.5,1,67
"2018-19","Atlanta Public Schools","Morningside Elementary School","Teachers","Low Poverty",74,38,51
"2018-19","Atlanta Public Schools","Morningside Elementary School","Teachers","Total",74,38,51
"2018-19","Atlanta Public Schools","North Atlanta High School","Leaders","Low Poverty",3,0.5,17
"2018-19","Atlanta Public Schools","North Atlanta High School","Teachers","Low Poverty",161.1,104.1,65
"2018-19","Atlanta Public Schools","North Atlanta High School","Teachers","Total",161.1,104.1,65
"2018-19","Atlanta Public Schools","Parkside Elementary School","Leaders","Low Poverty",1.5,0.5,33
"2018-19","Atlanta Public Schools","Parkside Elementary School","Teachers","High Poverty",84.6,66,78
"2018-19","Atlanta Public Schools","Parkside Elementary School","Teachers","Total",84.6,66,78
"2018-19","Atlanta Public Schools","Perkerson Elementary School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Perkerson Elementary School","Teachers","High Poverty",56.5,47.5,84
"2018-19","Atlanta Public Schools","Perkerson Elementary School","Teachers","Total",56.5,47.5,84
"2018-19","Atlanta Public Schools","Peyton Forest Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Peyton Forest Elementary School","Teachers","High Poverty",54.3,46,85
"2018-19","Atlanta Public Schools","Peyton Forest Elementary School","Teachers","Total",54.3,46,85
"2018-19","Atlanta Public Schools","Price Middle School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Price Middle School","Teachers","High Poverty",56,53,95
"2018-19","Atlanta Public Schools","Price Middle School","Teachers","Total",56,53,95
"2018-19","Atlanta Public Schools","Rivers Elementary School","Leaders","Low Poverty",1.3,0.8,60
"2018-19","Atlanta Public Schools","Rivers Elementary School","Teachers","Low Poverty",68,34,50
"2018-19","Atlanta Public Schools","Rivers Elementary School","Teachers","Total",68,34,50
"2018-19","Atlanta Public Schools","Scott Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Scott Elementary School","Teachers","High Poverty",64.2,49.7,77
"2018-19","Atlanta Public Schools","Scott Elementary School","Teachers","Total",64.2,49.7,77
"2018-19","Atlanta Public Schools","Slater Elementary School","Leaders","Low Poverty",0.5,0,0
"2018-19","Atlanta Public Schools","Slater Elementary School","Teachers","High Poverty",77,71,92
"2018-19","Atlanta Public Schools","Slater Elementary School","Teachers","Total",77,71,92
"2018-19","Atlanta Public Schools","Smith Elementary School","Leaders","Low Poverty",1.5,1.5,100
"2018-19","Atlanta Public Schools","Smith Elementary School","Teachers","Low Poverty",76,31,41
"2018-19","Atlanta Public Schools","Smith Elementary School","Teachers","Total",76,31,41
"2018-19","Atlanta Public Schools","South Atlanta High School","Leaders","Low Poverty",2,0.5,25
"2018-19","Atlanta Public Schools","South Atlanta High School","Teachers","High Poverty",96.6,96.6,100
"2018-19","Atlanta Public Schools","South Atlanta High School","Teachers","Total",96.6,96.6,100
"2018-19","Atlanta Public Schools","Springdale Park Elementary School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Springdale Park Elementary School","Teachers","Low Poverty",54.3,30.3,56
"2018-19","Atlanta Public Schools","Springdale Park Elementary School","Teachers","Total",54.3,30.3,56
"2018-19","Atlanta Public Schools","Sutton Middle School","Leaders","Low Poverty",3,2.5,83
"2018-19","Atlanta Public Schools","Sutton Middle School","Teachers","Low Poverty",109,61,56
"2018-19","Atlanta Public Schools","Sutton Middle School","Teachers","Total",109,61,56
"2018-19","Atlanta Public Schools","Sylvan Hills Middle School","Leaders","Low Poverty",2,1,50
"2018-19","Atlanta Public Schools","Sylvan Hills Middle School","Teachers","High Poverty",60,49,82
"2018-19","Atlanta Public Schools","Sylvan Hills Middle School","Teachers","Total",60,49,82
"2018-19","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Teachers","High Poverty",64.4,47.4,74
"2018-19","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Teachers","Total",64.4,47.4,74
"2018-19","Atlanta Public Schools","Therrell High School","Leaders","Low Poverty",3.5,3,86
"2018-19","Atlanta Public Schools","Therrell High School","Teachers","High Poverty",134.1,111,83
"2018-19","Atlanta Public Schools","Therrell High School","Teachers","Total",134.1,111,83
"2018-19","Atlanta Public Schools","Thomasville Heights Elementary School","Leaders","Low Poverty",1,1,100
"2018-19","Atlanta Public Schools","Thomasville Heights Elementary School","Teachers","High Poverty",50,49,98
"2018-19","Atlanta Public Schools","Thomasville Heights Elementary School","Teachers","Total",50,49,98
"2018-19","Atlanta Public Schools","Toomer Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Toomer Elementary School","Teachers","High Poverty",76.8,62.2,81
"2018-19","Atlanta Public Schools","Toomer Elementary School","Teachers","Total",76.8,62.2,81
"2018-19","Atlanta Public Schools","Towns Elementary School","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Towns Elementary School","Teachers","High Poverty",59.5,49.5,83
"2018-19","Atlanta Public Schools","Towns Elementary School","Teachers","Total",59.5,49.5,83
"2018-19","Atlanta Public Schools","Tuskegee Airman Global Academy","Leaders","Low Poverty",1.5,1,67
"2018-19","Atlanta Public Schools","Tuskegee Airman Global Academy","Teachers","High Poverty",92,92,100
"2018-19","Atlanta Public Schools","Tuskegee Airman Global Academy","Teachers","Total",92,92,100
"2018-19","Atlanta Public Schools","Wesley International Academy Charter Facility","Leaders","Not Applicable",2,1.5,75
"2018-19","Atlanta Public Schools","Wesley International Academy Charter Facility","Teachers","Total",76,54,71
"2018-19","Atlanta Public Schools","West Manor Elementary School","Leaders","Low Poverty",1,0,0
"2018-19","Atlanta Public Schools","West Manor Elementary School","Teachers","High Poverty",43.5,26.5,61
"2018-19","Atlanta Public Schools","West Manor Elementary School","Teachers","Total",43.5,26.5,61
"2018-19","Atlanta Public Schools","Westside Atlanta Charter School","Leaders","Low Poverty",0.5,0,0
"2018-19","Atlanta Public Schools","Westside Atlanta Charter School","Teachers","Low Poverty",28,21,75
"2018-19","Atlanta Public Schools","Westside Atlanta Charter School","Teachers","Total",28,21,75
"2018-19","Atlanta Public Schools","Woodson Park Academy","Leaders","Low Poverty",1,0.5,50
"2018-19","Atlanta Public Schools","Woodson Park Academy","Teachers","High Poverty",74.5,74.5,100
"2018-19","Atlanta Public Schools","Woodson Park Academy","Teachers","Total",74.5,74.5,100
"2018-19","Atlanta Public Schools","Young Middle School","Leaders","Low Poverty",2,0.5,25
"2018-19","Atlanta Public Schools","Young Middle School","Teachers","High Poverty",118,91,77
"2018-19","Atlanta Public Schools","Young Middle School","Teachers","Total",118,91,77
"2018-19","Bacon County","Bacon County Elementary School","Leaders","Not Applicable",2,0,0
"2018-19","Bacon County","Bacon County Elementary School","Teachers","Total",37,14.5,39
"2018-19","Bacon County","Bacon County High School","Leaders","Not Applicable",2,1,50
"2018-19","Bacon County","Bacon County High School","Teachers","Total",41.8,22.8,55
"2018-19","Bacon County","Bacon County Middle School","Leaders","Not Applicable",2,2,100
"2018-19","Bacon County","Bacon County Middle School","Teachers","Total",39.8,19.7,49
"2018-19","Bacon County","Bacon County Primary School","Leaders","Not Applicable",2,1,50
