"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2019-20","623","Catoosa County","ALL","All Column Values","General Administration",362139.92,301050.42,663190.34,0.56,0.49,0.57,0.49
"2019-20","623","Catoosa County","ALL","All Column Values","School Administration",3951906.72,2601689.48,6553596.2,5.54,4.84,5.62,4.85
"2019-20","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",46906955.14,23585660.93,70492616.07,59.57,52.08,60.44,52.12
"2019-20","624","Charlton County","ALL","All Column Values","General Administration",295642.26,190763.11,486405.37,2.65,2.38,2.74,2.44
"2019-20","624","Charlton County","ALL","All Column Values","School Administration",688083.12,390177.6,1078260.72,5.88,5.27,6.08,5.4
"2019-20","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5990430.19,2983971,8974401.19,48.95,43.84,50.64,44.97
"2019-20","625","Savannah-Chatham County","ALL","All Column Values","General Administration",5387949.59,2843702.54,8231652.13,1.68,1.4,1.87,1.5
"2019-20","625","Savannah-Chatham County","ALL","All Column Values","School Administration",13207661.75,7954745.66,21162407.41,4.33,3.6,4.8,3.86
"2019-20","625","Savannah-Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",154277892.6,78445315.45,232723208.05,47.61,39.54,52.78,42.5
"2019-20","626","Chattahoochee County","ALL","All Column Values","General Administration",504366.7,253607.27,757973.97,6.86,3.91,7.5,4.77
"2019-20","626","Chattahoochee County","ALL","All Column Values","School Administration",384473.67,186548.47,571022.14,5.17,2.95,5.65,3.6
"2019-20","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3057361.89,1350556.05,4407917.94,39.9,22.74,43.63,27.75
"2019-20","627","Chattooga County","ALL","All Column Values","General Administration",277856.88,133512.94,411369.82,1.35,1.2,1.42,1.25
"2019-20","627","Chattooga County","ALL","All Column Values","School Administration",963877.44,594554.81,1558432.25,5.1,4.53,5.38,4.75
"2019-20","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",9742750.49,4917668.42,14660418.91,48.02,42.62,50.65,44.69
"2019-20","628","Cherokee County","ALL","All Column Values","General Administration",2247005.57,1367701.36,3614706.93,0.8,0.64,0.82,0.7
"2019-20","628","Cherokee County","ALL","All Column Values","School Administration",12339648.2,8030264.58,20369912.78,4.53,3.62,4.63,3.95
"2019-20","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",180234677.62,86856801.14,267091478.76,59.42,47.41,60.68,51.75
"2019-20","629","Clarke County","ALL","All Column Values","General Administration",1132661.32,630222.8,1762884.12,0.97,0.81,1.01,0.83
"2019-20","629","Clarke County","ALL","All Column Values","School Administration",4979808.38,2814513.63,7794322.01,4.31,3.58,4.46,3.69
"2019-20","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",60697257.8,33670813.32,94368071.12,52.14,43.39,54.05,44.64
"2019-20","630","Clay County","ALL","All Column Values","General Administration",244684.62,83667.99,328352.61,7.28,6.66,7.53,6.51
"2019-20","630","Clay County","ALL","All Column Values","School Administration",221792.85,122118.92,343911.77,7.63,6.97,7.89,6.82
"2019-20","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",882323.16,400019.57,1282342.73,28.45,26,29.42,25.44
"2019-20","631","Clayton County","ALL","All Column Values","General Administration",4497458.48,1967978.6,6465437.08,1.16,1,1.25,1.03
"2019-20","631","Clayton County","ALL","All Column Values","School Administration",20300388.45,9478957.19,29779345.64,5.34,4.59,5.74,4.72
"2019-20","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",178759244.63,82133536.52,260892781.15,46.8,40.23,50.31,41.38
"2019-20","632","Clinch County","ALL","All Column Values","General Administration",393831.21,230065.81,623897.02,3.8,3.43,4.41,3.92
"2019-20","632","Clinch County","ALL","All Column Values","School Administration",427507.83,253305.24,680813.07,4.15,3.74,4.81,4.28
"2019-20","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4887443.19,2591399.07,7478842.26,45.56,41.1,52.83,47.04
"2019-20","633","Cobb County","ALL","All Column Values","General Administration",6146435.83,4844735.5,10991171.33,0.87,0.74,0.9,0.74
"2019-20","633","Cobb County","ALL","All Column Values","School Administration",38665159.29,23690246.34,62355405.63,4.94,4.22,5.13,4.17
"2019-20","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",514662949.73,248836953.89,763499903.62,60.52,51.71,62.77,51.08
"2019-20","634","Coffee County","ALL","All Column Values","General Administration",614063.99,335956.56,950020.55,1.18,1,1.25,1.02
"2019-20","634","Coffee County","ALL","All Column Values","School Administration",2007283.39,1328884.79,3336168.18,4.15,3.52,4.39,3.58
"2019-20","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",27591182.08,14622899.03,42214081.11,52.48,44.52,55.61,45.29
"2019-20","635","Colquitt County","ALL","All Column Values","General Administration",846800.84,417633.9,1264434.74,1.26,1.13,1.31,1.14
"2019-20","635","Colquitt County","ALL","All Column Values","School Administration",3219926.56,1448476.39,4668402.95,4.66,4.18,4.82,4.22
"2019-20","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",36758417.73,17171595.61,53930013.34,53.86,48.33,55.69,48.75
"2019-20","636","Columbia County","ALL","All Column Values","General Administration",276470.35,600688.59,877158.94,0.32,0.23,0.33,0.28
"2019-20","636","Columbia County","ALL","All Column Values","School Administration",7855598.75,4847203.18,12702801.93,4.61,3.4,4.83,4.11
"2019-20","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",105582387.73,52500206.4,158082594.13,57.41,42.3,60.1,51.18
"2019-20","637","Cook County","ALL","All Column Values","General Administration",651211.77,266817.45,918029.22,2.88,2.52,2.98,2.22
"2019-20","637","Cook County","ALL","All Column Values","School Administration",944405.43,548535.85,1492941.28,4.69,4.1,4.85,3.6
"2019-20","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",11541733.53,5549336.56,17091070.09,53.64,46.98,55.56,41.27
"2019-20","638","Coweta County","ALL","All Column Values","General Administration",508789.34,448275.5,957064.84,0.41,0.36,0.43,0.36
"2019-20","638","Coweta County","ALL","All Column Values","School Administration",8119968.59,4717497.68,12837466.27,5.53,4.77,5.71,4.8
"2019-20","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",93775233.72,45283524.06,139058757.78,59.93,51.62,61.9,52.04
"2019-20","639","Crawford County","ALL","All Column Values","General Administration",538948.32,254652.49,793600.81,4.25,3.88,4.68,4.12
"2019-20","639","Crawford County","ALL","All Column Values","School Administration",602521.8,403910.13,1006431.93,5.39,4.92,5.94,5.23
"2019-20","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6639252.63,3063470.93,9702723.56,51.97,47.42,57.28,50.38
"2019-20","640","Crisp County","ALL","All Column Values","General Administration",528398.81,290898.93,819297.74,1.89,1.2,1.98,1.15
"2019-20","640","Crisp County","ALL","All Column Values","School Administration",1257325.39,811558.75,2068884.14,4.78,3.04,5,2.91
"2019-20","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",14866236.61,7829934.2,22696170.81,52.45,33.38,54.8,31.87
"2019-20","641","Dade County","ALL","All Column Values","General Administration",180966.92,154983.15,335950.07,1.59,1.31,1.6,1.35
"2019-20","641","Dade County","ALL","All Column Values","School Administration",742987.58,429917.55,1172905.13,5.55,4.59,5.58,4.7
"2019-20","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",7836992.26,4254185.6,12091177.86,57.18,47.3,57.51,48.47
"2019-20","642","Dawson County","ALL","All Column Values","General Administration",410780.37,259570.85,670351.22,1.43,0.97,1.47,1.18
"2019-20","642","Dawson County","ALL","All Column Values","School Administration",1698831.41,853182.85,2552014.26,5.45,3.69,5.58,4.5
"2019-20","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",15462486.51,8304095.33,23766581.84,50.8,34.33,51.94,41.9
"2019-20","643","Decatur County","ALL","All Column Values","General Administration",416760,139875.24,556635.24,1.07,0.92,1.18,0.92
"2019-20","643","Decatur County","ALL","All Column Values","School Administration",1839166.26,853814.45,2692980.71,5.17,4.45,5.69,4.43
"2019-20","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",17697106.13,8825085.85,26522191.98,50.88,43.79,55.99,43.63
"2019-20","644","DeKalb County","ALL","All Column Values","General Administration",5996577.26,5456264.75,11452842.01,0.89,0.78,0.89,0.76
"2019-20","644","DeKalb County","ALL","All Column Values","School Administration",41751580.05,21559077.16,63310657.21,4.93,4.29,4.93,4.23
"2019-20","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",468064479.26,210784548.24,678849027.5,52.87,45.97,52.83,45.33
"2019-20","645","Dodge County","ALL","All Column Values","General Administration",334096.98,178469.7,512566.68,1.56,1.36,1.67,1.52
"2019-20","645","Dodge County","ALL","All Column Values","School Administration",853040.61,446416.49,1299457.1,3.94,3.44,4.23,3.85
"2019-20","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",13039126.92,6253134.41,19292261.33,58.56,51.12,62.82,57.23
"2019-20","646","Dooly County","ALL","All Column Values","General Administration",437350.92,214895.99,652246.91,4.66,4.11,4.9,3.92
"2019-20","646","Dooly County","ALL","All Column Values","School Administration",441393.88,325996.93,767390.81,5.48,4.84,5.77,4.61
"2019-20","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",4188915.63,2172204.18,6361119.81,45.46,40.11,47.83,38.23
"2019-20","647","Dougherty County","ALL","All Column Values","General Administration",1527043.2,941451.07,2468494.27,1.49,1.24,1.53,1.25
"2019-20","647","Dougherty County","ALL","All Column Values","School Administration",5830971.19,3133911.36,8964882.55,5.4,4.49,5.57,4.55
"2019-20","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",50867150.6,27591930.6,78459081.2,47.23,39.28,48.71,39.78
"2019-20","648","Douglas County","ALL","All Column Values","General Administration",1206754.51,911300.8,2118055.31,0.75,0.65,0.77,0.64
"2019-20","648","Douglas County","ALL","All Column Values","School Administration",9292356.76,6134800.23,15427156.99,5.49,4.72,5.63,4.7
"2019-20","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",107665051.61,55028239.18,162693290.79,57.9,49.79,59.33,49.52
"2019-20","649","Early County","ALL","All Column Values","General Administration",242541.36,170916.37,413457.73,1.76,1.54,1.78,1.56
"2019-20","649","Early County","ALL","All Column Values","School Administration",846909.43,415422.95,1262332.38,5.37,4.71,5.42,4.76
"2019-20","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",9043205.65,4613492.7,13656698.35,58.14,50.91,58.67,51.54
"2019-20","650","Echols County","ALL","All Column Values","General Administration",256595.48,170919.72,427515.2,4.31,3.89,4.77,4.24
"2019-20","650","Echols County","ALL","All Column Values","School Administration",247384.84,161646.12,409030.96,4.12,3.72,4.57,4.06
"2019-20","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",3281701.95,1782824.74,5064526.69,51.04,46.09,56.53,50.27
"2019-20","651","Effingham County","ALL","All Column Values","General Administration",1353337.03,775134.53,2128471.56,1.63,1.44,1.69,1.46
"2019-20","651","Effingham County","ALL","All Column Values","School Administration",4087187.07,2362965.87,6450152.94,4.93,4.36,5.13,4.42
"2019-20","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",56389619.17,23302891.72,79692510.89,60.94,53.81,63.4,54.65
"2019-20","652","Elbert County","ALL","All Column Values","General Administration",298313.12,252596.32,550909.44,1.61,1.42,1.7,1.52
"2019-20","652","Elbert County","ALL","All Column Values","School Administration",1277175.41,832088.74,2109264.15,6.15,5.45,6.52,5.82
"2019-20","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",12107510.1,6516864.77,18624374.87,54.29,48.11,57.55,51.38
"2019-20","653","Emanuel County","ALL","All Column Values","General Administration",557857.86,346721,904578.86,2.08,1.8,2.13,1.83
"2019-20","653","Emanuel County","ALL","All Column Values","School Administration",1435377.98,865396.86,2300774.84,5.3,4.58,5.42,4.65
"2019-20","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",15710775.71,8577674.86,24288450.57,55.92,48.37,57.23,49.11
"2019-20","654","Evans County","ALL","All Column Values","General Administration",309749.84,203604.04,513353.88,2.59,2.19,2.63,1.75
"2019-20","654","Evans County","ALL","All Column Values","School Administration",825685.93,391880.14,1217566.07,6.15,5.2,6.25,4.15
"2019-20","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",6165149.02,2961661.87,9126810.89,46.07,38.99,46.84,31.07
"2019-20","655","Fannin County","ALL","All Column Values","General Administration",786515.56,394543.95,1181059.51,3.03,2.51,3.24,2.84
"2019-20","655","Fannin County","ALL","All Column Values","School Administration",1147089.61,855734.65,2002824.26,5.13,4.26,5.49,4.81
"2019-20","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",12554339.62,7362899.99,19917239.61,51.06,42.4,54.57,47.82
"2019-20","656","Fayette County","ALL","All Column Values","General Administration",921471.5,635215.73,1556687.23,0.66,0.55,0.68,0.56
"2019-20","656","Fayette County","ALL","All Column Values","School Administration",6802376.37,4136708.83,10939085.2,4.66,3.88,4.8,3.97
"2019-20","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",94929885.56,44200058.6,139129944.16,59.28,49.37,61.07,50.48
"2019-20","657","Floyd County","ALL","All Column Values","General Administration",840217.36,1166626.89,2006844.25,1.8,1.58,1.9,1.53
"2019-20","657","Floyd County","ALL","All Column Values","School Administration",4095893.06,2232752.53,6328645.59,5.67,4.98,5.99,4.83
"2019-20","657","Floyd County","ALL","All Column Values","Teachers and Paraprofessionals",39756766.8,19471858.49,59228625.29,53.02,46.61,56.11,45.22
"2019-20","658","Forsyth County","ALL","All Column Values","General Administration",1813222.06,895024,2708246.06,0.53,0.34,0.55,0.38
"2019-20","658","Forsyth County","ALL","All Column Values","School Administration",14341671.02,8638042.04,22979713.06,4.52,2.92,4.67,3.25
"2019-20","658","Forsyth County","ALL","All Column Values","Teachers and Paraprofessionals",216576407,104212513.69,320788920.69,63.07,40.74,65.22,45.32
"2019-20","659","Franklin County","ALL","All Column Values","General Administration",312907.04,185676.91,498583.95,1.16,0.98,1.2,1.01
"2019-20","659","Franklin County","ALL","All Column Values","School Administration",1173955.66,755432,1929387.66,4.51,3.8,4.64,3.93
"2019-20","659","Franklin County","ALL","All Column Values","Teachers and Paraprofessionals",16390977.1,7865893.82,24256870.92,56.65,47.74,58.33,49.37
"2019-20","660","Fulton County","ALL","All Column Values","General Administration",6231813.15,8817408.83,15049221.98,1.27,1.06,1.3,1.07
"2019-20","660","Fulton County","ALL","All Column Values","School Administration",32220779.52,17726719.36,49947498.88,4.2,3.51,4.3,3.56
"2019-20","660","Fulton County","ALL","All Column Values","Teachers and Paraprofessionals",404825761.21,180057363.56,584883124.77,49.24,41.07,50.39,41.72
"2019-20","661","Gilmer County","ALL","All Column Values","General Administration",338717.36,268942.79,607660.15,1.33,0.86,1.36,1.12
"2019-20","661","Gilmer County","ALL","All Column Values","School Administration",1342559.37,871469.5,2214028.87,4.84,3.13,4.95,4.08
"2019-20","661","Gilmer County","ALL","All Column Values","Teachers and Paraprofessionals",16251353.04,8792503.97,25043857.01,54.79,35.39,56.01,46.14
"2019-20","662","Glascock County","ALL","All Column Values","General Administration",203931.18,104431.98,308363.16,4.4,4.1,4.48,4.18
"2019-20","662","Glascock County","ALL","All Column Values","School Administration",202393.68,90346.11,292739.79,4.17,3.9,4.25,3.97
"2019-20","662","Glascock County","ALL","All Column Values","Teachers and Paraprofessionals",2318748.17,1027859.72,3346607.89,47.72,44.54,48.64,45.35
"2019-20","663","Glynn County","ALL","All Column Values","General Administration",494396.56,505086.45,999483.01,0.67,0.55,0.7,0.54
"2019-20","663","Glynn County","ALL","All Column Values","School Administration",4214063.06,2310535.08,6524598.14,4.36,3.58,4.59,3.53
"2019-20","663","Glynn County","ALL","All Column Values","Teachers and Paraprofessionals",55958370.92,27995306.97,83953677.89,56.04,46.04,59.08,45.42
"2019-20","664","Gordon County","ALL","All Column Values","General Administration",329828.19,269271.45,599099.64,0.88,0.76,0.91,0.76
"2019-20","664","Gordon County","ALL","All Column Values","School Administration",2346163.19,1462071.59,3808234.78,5.58,4.84,5.76,4.84
"2019-20","664","Gordon County","ALL","All Column Values","Teachers and Paraprofessionals",25174274.36,12593682.74,37767957.1,55.33,47.98,57.16,48.04
"2019-20","665","Grady County","ALL","All Column Values","General Administration",293568.05,150113.2,443681.25,0.98,0.76,1,0.71
"2019-20","665","Grady County","ALL","All Column Values","School Administration",1642317.91,836098.46,2478416.37,5.5,4.24,5.56,3.98
"2019-20","665","Grady County","ALL","All Column Values","Teachers and Paraprofessionals",17886916.23,8344001.24,26230917.47,58.2,44.88,58.87,42.11
"2019-20","666","Greene County","ALL","All Column Values","General Administration",537498.84,314071.32,851570.16,2.14,1.82,2.36,1.97
"2019-20","666","Greene County","ALL","All Column Values","School Administration",974089.27,569388.07,1543477.34,3.87,3.3,4.29,3.57
"2019-20","666","Greene County","ALL","All Column Values","Teachers and Paraprofessionals",12930185.4,6738690.96,19668876.36,49.32,42.04,54.61,45.51
"2019-20","667","Gwinnett County","ALL","All Column Values","General Administration",4071579.24,2861828.92,6933408.16,0.35,0.3,0.37,0.3
"2019-20","667","Gwinnett County","ALL","All Column Values","School Administration",68675655.24,44873401.71,113549056.95,5.78,4.88,6.13,4.92
"2019-20","667","Gwinnett County","ALL","All Column Values","Teachers and Paraprofessionals",741867665.86,365343454.89,1107211120.75,56.39,47.58,59.77,47.99
"2019-20","668","Habersham County","ALL","All Column Values","General Administration",384959.21,220688.93,605648.14,0.75,0.66,0.76,0.67
"2019-20","668","Habersham County","ALL","All Column Values","School Administration",2584024.69,1540977.78,4125002.47,5.14,4.5,5.17,4.54
"2019-20","668","Habersham County","ALL","All Column Values","Teachers and Paraprofessionals",30081810.38,15800133.79,45881944.17,57.17,50.06,57.51,50.55
"2019-20","669","Hall County","ALL","All Column Values","General Administration",737725.68,2363950.05,3101675.73,1.07,0.92,1.1,0.97
"2019-20","669","Hall County","ALL","All Column Values","School Administration",8808779.47,5391169.53,14199949,4.89,4.21,5.04,4.42
"2019-20","669","Hall County","ALL","All Column Values","Teachers and Paraprofessionals",108750123.98,54510854.99,163260978.97,56.2,48.46,57.92,50.87
"2019-20","670","Hancock County","ALL","All Column Values","General Administration",316742.29,149941.45,466683.74,3.59,3.24,3.94,3.49
"2019-20","670","Hancock County","ALL","All Column Values","School Administration",418768.48,181513.97,600282.45,4.61,4.17,5.07,4.49
"2019-20","670","Hancock County","ALL","All Column Values","Teachers and Paraprofessionals",3268307.78,1518106.69,4786414.47,36.79,33.27,40.46,35.79
"2019-20","671","Haralson County","ALL","All Column Values","General Administration",608455.91,300699.21,909155.12,2.07,1.83,2.42,2
