"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2020-21","Atlanta Public Schools","APS-Forrest Hills Academy","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","High Poverty","26","13","50"
"2020-21","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total","26","13","50"
"2020-21","Atlanta Public Schools","Atlanta Classical Academy","Leaders","Low Poverty","TFS","TFS","71"
"2020-21","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty","59","38.5","65"
"2020-21","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total","59","38.5","65"
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Leaders","Low Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty","33","15","45"
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total","33","15","45"
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty","21.5","TFS","30"
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total","21.5","TFS","30"
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","High Poverty","209.3","95.4","46"
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Low Poverty","54","16","30"
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Total","290.6","120.4","41"
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty","2522.1","1260.1","50"
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty","1048.2","340.7","33"
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total","3957.9","1776.6","45"
"2020-21","Atlanta Public Schools","B.E.S.T Academy","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","B.E.S.T Academy","Teachers","High Poverty","34","17.4","51"
"2020-21","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total","34","17.4","51"
"2020-21","Atlanta Public Schools","Barack and Michelle Obama Academy","Leaders","High Poverty","TFS","TFS","67"
"2020-21","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","High Poverty","26.1","15.6","60"
"2020-21","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total","26.1","15.6","60"
"2020-21","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","High Poverty","33.8","14.8","44"
"2020-21","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total","33.8","14.8","44"
"2020-21","Atlanta Public Schools","Beecher Hills Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","High Poverty","27.3","TFS","31"
"2020-21","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total","27.3","TFS","31"
"2020-21","Atlanta Public Schools","Benteen Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Benteen Elementary School","Teachers","High Poverty","26.7","10.2","38"
"2020-21","Atlanta Public Schools","Benteen Elementary School","Teachers","Total","26.7","10.2","38"
"2020-21","Atlanta Public Schools","Bolton Academy","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Bolton Academy","Teachers","Low Poverty","43","17","40"
"2020-21","Atlanta Public Schools","Bolton Academy","Teachers","Total","43","17","40"
"2020-21","Atlanta Public Schools","Booker T. Washington High School","Leaders","High Poverty","TFS","TFS","25"
"2020-21","Atlanta Public Schools","Booker T. Washington High School","Teachers","High Poverty","57.8","28.8","50"
"2020-21","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total","57.8","28.8","50"
"2020-21","Atlanta Public Schools","Boyd Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Boyd Elementary School","Teachers","High Poverty","38.9","18.4","47"
"2020-21","Atlanta Public Schools","Boyd Elementary School","Teachers","Total","38.9","18.4","47"
"2020-21","Atlanta Public Schools","Brandon Elementary School","Leaders","Low Poverty","TFS","TFS","33"
"2020-21","Atlanta Public Schools","Brandon Elementary School","Teachers","Low Poverty","61.5","14","23"
"2020-21","Atlanta Public Schools","Brandon Elementary School","Teachers","Total","61.5","14","23"
"2020-21","Atlanta Public Schools","Brown Middle School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Brown Middle School","Teachers","High Poverty","28.5","11.2","39"
"2020-21","Atlanta Public Schools","Brown Middle School","Teachers","Total","28.5","11.2","39"
"2020-21","Atlanta Public Schools","Bunche Middle School","Leaders","High Poverty","TFS","TFS","25"
"2020-21","Atlanta Public Schools","Bunche Middle School","Teachers","High Poverty","64.3","43.3","67"
"2020-21","Atlanta Public Schools","Bunche Middle School","Teachers","Total","64.3","43.3","67"
"2020-21","Atlanta Public Schools","Burgess-Peterson Elementary School","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Low Poverty","40.2","12.2","30"
"2020-21","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total","40.2","12.2","30"
"2020-21","Atlanta Public Schools","Carver High School","Leaders","High Poverty","TFS","TFS","25"
"2020-21","Atlanta Public Schools","Carver High School","Teachers","High Poverty","38.5","34.5","90"
"2020-21","Atlanta Public Schools","Carver High School","Teachers","Total","38.5","34.5","90"
"2020-21","Atlanta Public Schools","Cascade Elementary School","Leaders","High Poverty","TFS","TFS","100"
"2020-21","Atlanta Public Schools","Cascade Elementary School","Teachers","High Poverty","31.5","20.5","65"
"2020-21","Atlanta Public Schools","Cascade Elementary School","Teachers","Total","31.5","20.5","65"
"2020-21","Atlanta Public Schools","Centennial Academy","Leaders","High Poverty","TFS","TFS","67"
"2020-21","Atlanta Public Schools","Centennial Academy","Teachers","High Poverty","62","47","76"
"2020-21","Atlanta Public Schools","Centennial Academy","Teachers","Total","62","47","76"
"2020-21","Atlanta Public Schools","Charles Drew Charter School JA/SA","Leaders","Not Applicable","TFS","TFS","40"
"2020-21","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total","77","38.5","50"
"2020-21","Atlanta Public Schools","Charles R. Drew Charter School","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Low Poverty","80.5","31.5","39"
"2020-21","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total","80.5","31.5","39"
"2020-21","Atlanta Public Schools","Cleveland Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Cleveland Elementary School","Teachers","High Poverty","26.9","14.5","54"
"2020-21","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total","26.9","14.5","54"
"2020-21","Atlanta Public Schools","Continental Colony Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Continental Colony Elementary School","Teachers","High Poverty","33.8","17.3","51"
"2020-21","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total","33.8","17.3","51"
"2020-21","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","High Poverty","40.5","19.5","48"
"2020-21","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total","40.5","19.5","48"
"2020-21","Atlanta Public Schools","Deerwood Academy School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Deerwood Academy School","Teachers","High Poverty","43.5","21.3","49"
"2020-21","Atlanta Public Schools","Deerwood Academy School","Teachers","Total","43.5","21.3","49"
"2020-21","Atlanta Public Schools","Dobbs Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Dobbs Elementary School","Teachers","High Poverty","33.8","20.3","60"
"2020-21","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total","33.8","20.3","60"
"2020-21","Atlanta Public Schools","Douglass High School","Leaders","High Poverty","TFS","TFS","33"
"2020-21","Atlanta Public Schools","Douglass High School","Teachers","High Poverty","74.7","37","50"
"2020-21","Atlanta Public Schools","Douglass High School","Teachers","Total","74.7","37","50"
"2020-21","Atlanta Public Schools","Dunbar Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Dunbar Elementary School","Teachers","High Poverty","24.3","TFS","34"
"2020-21","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total","24.3","TFS","34"
"2020-21","Atlanta Public Schools","Early College High School at Carver","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Early College High School at Carver","Teachers","High Poverty","37.6","16","43"
"2020-21","Atlanta Public Schools","Early College High School at Carver","Teachers","Total","37.6","16","43"
"2020-21","Atlanta Public Schools","F. L. Stanton Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","High Poverty","18.8","TFS","52"
"2020-21","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total","18.8","TFS","52"
"2020-21","Atlanta Public Schools","Fickett Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Fickett Elementary School","Teachers","High Poverty","39.7","22.2","56"
"2020-21","Atlanta Public Schools","Fickett Elementary School","Teachers","Total","39.7","22.2","56"
"2020-21","Atlanta Public Schools","Finch Elementary","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Finch Elementary","Teachers","High Poverty","34.8","16.5","47"
"2020-21","Atlanta Public Schools","Finch Elementary","Teachers","Total","34.8","16.5","47"
"2020-21","Atlanta Public Schools","Garden Hills Elementary School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Garden Hills Elementary School","Teachers","Total","43.5","19.5","45"
"2020-21","Atlanta Public Schools","Gideons Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Gideons Elementary School","Teachers","High Poverty","33","13","39"
"2020-21","Atlanta Public Schools","Gideons Elementary School","Teachers","Total","33","13","39"
"2020-21","Atlanta Public Schools","Grady High School","Leaders","Low Poverty","TFS","TFS","17"
"2020-21","Atlanta Public Schools","Grady High School","Teachers","Low Poverty","91.3","32","35"
"2020-21","Atlanta Public Schools","Grady High School","Teachers","Total","91.3","32","35"
"2020-21","Atlanta Public Schools","Harper-Archer Elementary School","Leaders","High Poverty","TFS","TFS","67"
"2020-21","Atlanta Public Schools","Harper-Archer Elementary School","Teachers","High Poverty","51.5","51.5","98"
"2020-21","Atlanta Public Schools","Harper-Archer Elementary School","Teachers","Total","51.5","51.5","98"
"2020-21","Atlanta Public Schools","Heritage Academy Elementary","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Heritage Academy Elementary","Teachers","High Poverty","34.2","15","44"
"2020-21","Atlanta Public Schools","Heritage Academy Elementary","Teachers","Total","34.2","15","44"
"2020-21","Atlanta Public Schools","Hillside Conant School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Hillside Conant School","Teachers","High Poverty","10","TFS","50"
"2020-21","Atlanta Public Schools","Hillside Conant School","Teachers","Total","10","TFS","50"
"2020-21","Atlanta Public Schools","Humphries Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Humphries Elementary School","Teachers","High Poverty","25.8","16.5","64"
"2020-21","Atlanta Public Schools","Humphries Elementary School","Teachers","Total","25.8","16.5","64"
"2020-21","Atlanta Public Schools","Hutchinson Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Hutchinson Elementary School","Teachers","High Poverty","27.4","11.1","41"
"2020-21","Atlanta Public Schools","Hutchinson Elementary School","Teachers","Total","27.4","11.1","41"
"2020-21","Atlanta Public Schools","Inman Middle School","Leaders","Low Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Inman Middle School","Teachers","Low Poverty","76","40","53"
"2020-21","Atlanta Public Schools","Inman Middle School","Teachers","Total","76","40","53"
"2020-21","Atlanta Public Schools","Jackson Elementary School","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Jackson Elementary School","Teachers","Low Poverty","46.1","11","24"
"2020-21","Atlanta Public Schools","Jackson Elementary School","Teachers","Total","46.1","11","24"
"2020-21","Atlanta Public Schools","John Lewis Invictus Academy","Leaders","High Poverty","TFS","TFS","83"
"2020-21","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","High Poverty","64.3","63.3","98"
"2020-21","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","Total","64.3","63.3","98"
"2020-21","Atlanta Public Schools","KIPP Atlanta Collegiate Academy","Leaders","High Poverty","TFS","TFS","51"
"2020-21","Atlanta Public Schools","KIPP Atlanta Collegiate Academy","Teachers","High Poverty","60","34.2","57"
"2020-21","Atlanta Public Schools","KIPP Atlanta Collegiate Academy","Teachers","Total","60","34.2","57"
"2020-21","Atlanta Public Schools","KIPP Soul Academy","Leaders","High Poverty","TFS","TFS","100"
"2020-21","Atlanta Public Schools","KIPP Soul Academy","Teachers","High Poverty","15","15","94"
"2020-21","Atlanta Public Schools","KIPP Soul Academy","Teachers","Total","15","15","94"
"2020-21","Atlanta Public Schools","KIPP Soul Primary","Leaders","High Poverty","TFS","TFS","97"
"2020-21","Atlanta Public Schools","KIPP Soul Primary","Teachers","High Poverty","17.5","17.5","95"
"2020-21","Atlanta Public Schools","KIPP Soul Primary","Teachers","Total","17.5","17.5","95"
"2020-21","Atlanta Public Schools","KIPP Strive Primary","Leaders","High Poverty","TFS","TFS","98"
"2020-21","Atlanta Public Schools","KIPP Strive Primary","Teachers","High Poverty","31","24","77"
"2020-21","Atlanta Public Schools","KIPP Strive Primary","Teachers","Total","31","24","77"
"2020-21","Atlanta Public Schools","KIPP VISION","Leaders","High Poverty","TFS","TFS","69"
"2020-21","Atlanta Public Schools","KIPP VISION","Teachers","High Poverty","30","25","83"
"2020-21","Atlanta Public Schools","KIPP VISION","Teachers","Total","30","25","83"
"2020-21","Atlanta Public Schools","KIPP Vision Primary","Leaders","High Poverty","TFS","TFS","96"
"2020-21","Atlanta Public Schools","KIPP Vision Primary","Teachers","High Poverty","33","26","79"
"2020-21","Atlanta Public Schools","KIPP Vision Primary","Teachers","Total","33","26","79"
"2020-21","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Leaders","High Poverty","TFS","TFS","49"
"2020-21","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","High Poverty","31.4","21.4","68"
"2020-21","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","Total","31.4","21.4","68"
"2020-21","Atlanta Public Schools","Kimberly Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Kimberly Elementary School","Teachers","High Poverty","31.8","23.8","75"
"2020-21","Atlanta Public Schools","Kimberly Elementary School","Teachers","Total","31.8","23.8","75"
"2020-21","Atlanta Public Schools","Kindezi","Leaders","High Poverty","TFS","TFS","40"
"2020-21","Atlanta Public Schools","Kindezi","Teachers","High Poverty","63","39","62"
"2020-21","Atlanta Public Schools","Kindezi","Teachers","Total","63","39","62"
"2020-21","Atlanta Public Schools","Kindezi Old 4th Ward","Leaders","High Poverty","TFS","TFS","80"
"2020-21","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","High Poverty","68","44","65"
"2020-21","Atlanta Public Schools","Kindezi Old 4th Ward","Teachers","Total","68","44","65"
"2020-21","Atlanta Public Schools","King Middle School","Leaders","High Poverty","TFS","TFS","20"
"2020-21","Atlanta Public Schools","King Middle School","Teachers","High Poverty","61.5","28","46"
"2020-21","Atlanta Public Schools","King Middle School","Teachers","Total","61.5","28","46"
"2020-21","Atlanta Public Schools","Kipp Strive Academy","Leaders","High Poverty","TFS","TFS","49"
"2020-21","Atlanta Public Schools","Kipp Strive Academy","Teachers","High Poverty","31.8","23","72"
"2020-21","Atlanta Public Schools","Kipp Strive Academy","Teachers","Total","31.8","23","72"
"2020-21","Atlanta Public Schools","Kipp WAYS Primary School","Leaders","High Poverty","TFS","TFS","74"
"2020-21","Atlanta Public Schools","Kipp WAYS Primary School","Teachers","High Poverty","34.1","23.6","69"
"2020-21","Atlanta Public Schools","Kipp WAYS Primary School","Teachers","Total","34.1","23.6","69"
"2020-21","Atlanta Public Schools","Lin Elementary School","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Lin Elementary School","Teachers","Low Poverty","42.5","13","31"
"2020-21","Atlanta Public Schools","Lin Elementary School","Teachers","Total","42.5","13","31"
"2020-21","Atlanta Public Schools","Long Middle School","Leaders","High Poverty","TFS","TFS","25"
"2020-21","Atlanta Public Schools","Long Middle School","Teachers","High Poverty","59.5","30.5","51"
"2020-21","Atlanta Public Schools","Long Middle School","Teachers","Total","59.5","30.5","51"
"2020-21","Atlanta Public Schools","M. A. Jones Elementary School","Leaders","High Poverty","TFS","TFS","67"
"2020-21","Atlanta Public Schools","M. A. Jones Elementary School","Teachers","High Poverty","32.5","17.5","54"
"2020-21","Atlanta Public Schools","M. A. Jones Elementary School","Teachers","Total","32.5","17.5","54"
"2020-21","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Leaders","Not Applicable","TFS","TFS","17"
"2020-21","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Teachers","Total","91.6","48","52"
"2020-21","Atlanta Public Schools","Mays High School","Leaders","High Poverty","TFS","TFS","60"
"2020-21","Atlanta Public Schools","Mays High School","Teachers","High Poverty","78.4","42.7","55"
"2020-21","Atlanta Public Schools","Mays High School","Teachers","Total","78.4","42.7","55"
"2020-21","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Teachers","High Poverty","62","45","73"
"2020-21","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Teachers","Total","62","45","73"
"2020-21","Atlanta Public Schools","Miles Elementary School","Leaders","High Poverty","TFS","TFS","25"
"2020-21","Atlanta Public Schools","Miles Elementary School","Teachers","High Poverty","43.3","25.8","60"
"2020-21","Atlanta Public Schools","Miles Elementary School","Teachers","Total","43.3","25.8","60"
"2020-21","Atlanta Public Schools","Morningside Elementary School","Leaders","Low Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Morningside Elementary School","Teachers","Low Poverty","56","14","25"
"2020-21","Atlanta Public Schools","Morningside Elementary School","Teachers","Total","56","14","25"
"2020-21","Atlanta Public Schools","North Atlanta High School","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","North Atlanta High School","Teachers","Low Poverty","130.3","52.1","40"
"2020-21","Atlanta Public Schools","North Atlanta High School","Teachers","Total","130.3","52.1","40"
"2020-21","Atlanta Public Schools","Parkside Elementary School","Leaders","Not Applicable","TFS","TFS","33"
"2020-21","Atlanta Public Schools","Parkside Elementary School","Teachers","Total","41.3","17.3","42"
"2020-21","Atlanta Public Schools","Perkerson Elementary School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Perkerson Elementary School","Teachers","High Poverty","33.5","25.5","76"
"2020-21","Atlanta Public Schools","Perkerson Elementary School","Teachers","Total","33.5","25.5","76"
"2020-21","Atlanta Public Schools","Peyton Forest Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Peyton Forest Elementary School","Teachers","High Poverty","36.3","22","61"
"2020-21","Atlanta Public Schools","Peyton Forest Elementary School","Teachers","Total","36.3","22","61"
"2020-21","Atlanta Public Schools","Price Middle School","Leaders","High Poverty","TFS","TFS","33"
"2020-21","Atlanta Public Schools","Price Middle School","Teachers","High Poverty","36.5","26.5","73"
"2020-21","Atlanta Public Schools","Price Middle School","Teachers","Total","36.5","26.5","73"
"2020-21","Atlanta Public Schools","Rivers Elementary School","Leaders","Low Poverty","TFS","TFS","60"
"2020-21","Atlanta Public Schools","Rivers Elementary School","Teachers","Low Poverty","51.5","12.5","24"
"2020-21","Atlanta Public Schools","Rivers Elementary School","Teachers","Total","51.5","12.5","24"
"2020-21","Atlanta Public Schools","Scott Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Scott Elementary School","Teachers","High Poverty","31.8","15.1","47"
"2020-21","Atlanta Public Schools","Scott Elementary School","Teachers","Total","31.8","15.1","47"
"2020-21","Atlanta Public Schools","Slater Elementary School","Leaders","High Poverty","TFS","TFS","100"
"2020-21","Atlanta Public Schools","Slater Elementary School","Teachers","High Poverty","37","29.5","80"
"2020-21","Atlanta Public Schools","Slater Elementary School","Teachers","Total","37","29.5","80"
"2020-21","Atlanta Public Schools","Smith Elementary School","Leaders","Low Poverty","TFS","TFS","100"
"2020-21","Atlanta Public Schools","Smith Elementary School","Teachers","Low Poverty","62.9","22.5","36"
"2020-21","Atlanta Public Schools","Smith Elementary School","Teachers","Total","62.9","22.5","36"
"2020-21","Atlanta Public Schools","South Atlanta High School","Leaders","High Poverty","TFS","TFS","20"
"2020-21","Atlanta Public Schools","South Atlanta High School","Teachers","High Poverty","62.7","36.1","57"
"2020-21","Atlanta Public Schools","South Atlanta High School","Teachers","Total","62.7","36.1","57"
"2020-21","Atlanta Public Schools","Springdale Park Elementary School","Leaders","Low Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Springdale Park Elementary School","Teachers","Low Poverty","55.5","25.2","45"
"2020-21","Atlanta Public Schools","Springdale Park Elementary School","Teachers","Total","55.5","25.2","45"
"2020-21","Atlanta Public Schools","Sutton Middle School","Leaders","Low Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Sutton Middle School","Teachers","Low Poverty","108","55","51"
"2020-21","Atlanta Public Schools","Sutton Middle School","Teachers","Total","108","55","51"
"2020-21","Atlanta Public Schools","Sylvan Hills Middle School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Sylvan Hills Middle School","Teachers","High Poverty","40.5","18.5","46"
"2020-21","Atlanta Public Schools","Sylvan Hills Middle School","Teachers","Total","40.5","18.5","46"
"2020-21","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Teachers","High Poverty","31.5","18.3","58"
"2020-21","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Teachers","Total","31.5","18.3","58"
"2020-21","Atlanta Public Schools","Therrell High School","Leaders","High Poverty","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Therrell High School","Teachers","High Poverty","57.4","32.8","57"
"2020-21","Atlanta Public Schools","Therrell High School","Teachers","Total","57.4","32.8","57"
"2020-21","Atlanta Public Schools","Thomasville Heights Elementary School","Leaders","High Poverty","TFS","TFS","100"
"2020-21","Atlanta Public Schools","Thomasville Heights Elementary School","Teachers","High Poverty","32.5","13.5","42"
"2020-21","Atlanta Public Schools","Thomasville Heights Elementary School","Teachers","Total","32.5","13.5","42"
"2020-21","Atlanta Public Schools","Toomer Elementary School","Leaders","Not Applicable","TFS","TFS","50"
"2020-21","Atlanta Public Schools","Toomer Elementary School","Teachers","Total","35.4","22.2","63"
"2020-21","Atlanta Public Schools","Tuskegee Airman Global Academy","Leaders","High Poverty","TFS","TFS","67"
"2020-21","Atlanta Public Schools","Tuskegee Airman Global Academy","Teachers","High Poverty","40.8","21.8","53"
"2020-21","Atlanta Public Schools","Tuskegee Airman Global Academy","Teachers","Total","40.8","21.8","53"
"2020-21","Atlanta Public Schools","Wesley International Academy Charter Facility","Leaders","Not Applicable","TFS","TFS","40"
"2020-21","Atlanta Public Schools","Wesley International Academy Charter Facility","Teachers","Total","69","43","62"
"2020-21","Atlanta Public Schools","West Manor Elementary School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","West Manor Elementary School","Teachers","High Poverty","24.5","TFS","33"
"2020-21","Atlanta Public Schools","West Manor Elementary School","Teachers","Total","24.5","TFS","33"
"2020-21","Atlanta Public Schools","Westside Atlanta Charter School","Leaders","Not Applicable","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Westside Atlanta Charter School","Teachers","Total","31.3","23.3","74"
"2020-21","Atlanta Public Schools","Woodson Park Academy","Leaders","High Poverty","TFS","TFS","83"
"2020-21","Atlanta Public Schools","Woodson Park Academy","Teachers","High Poverty","49","47","96"
"2020-21","Atlanta Public Schools","Woodson Park Academy","Teachers","Total","49","47","96"
"2020-21","Atlanta Public Schools","Young Middle School","Leaders","High Poverty","TFS","TFS","TFS"
"2020-21","Atlanta Public Schools","Young Middle School","Teachers","High Poverty","63","43","68"
"2020-21","Atlanta Public Schools","Young Middle School","Teachers","Total","63","43","68"
