SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2019-20 5 year grad rate PROGRAM_TOTAL,2019-20 5 year grad rate PROGRAM_PERCENT,2019-20 5 year grad rate TOTAL_COUNT,2019-20 Attendance STUDENT_COUNT_ALL,2019-20 Attendance FIVE_OR_FEWER_PERCENT_ALL,2019-20 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2019-20 Attendance OVER_15_PERCENT_ALL,2019-20 Attendance CHRONIC_ABSENT_PERC_ALL,2019-20 Completers PROGRAM_TOTAL,2019-20_Debt Services_x,2019-20_General Administration_x,2019-20_Instruction_x,2019-20_Instructional Support_x,2019-20_Maintenance and Operations_x,2019-20_Media_x,2019-20_Pupil Services_x,2019-20_Renovation and Capital Projects_x,2019-20_School Administration_x,2019-20_School food Services_x,2019-20_Transportation_x,2019-20_Debt Services_y,2019-20_General Administration_y,2019-20_Instruction_y,2019-20_Instructional Support_y,2019-20_Maintenance and Operations_y,2019-20_Media_y,2019-20_Pupil Services_y,2019-20_Renovation and Capital Projects_y,2019-20_School Administration_y,2019-20_School food Services_y,2019-20_Transportation_y,2019-20 SAT DSTRCT_AVG_SCORE_VAL
616,Bulloch County,624,84.44,739,11293,56.7,34.8,8.5,9.2,619,0,1613651.35,66036304.43,4020738.67,9176401.26,1500788.53,4357861.39,0,7853272.88,73388.61,5800457.17,0,154.95,6341.11,386.09,881.16,144.11,418.46,0,754.11,7.05,556.99,1039
617,Burke County,259,92.17,281,4267,63.7,30.6,5.7,6,258,0,2998978.83,32349828.09,1256507.76,4927194.72,723012.79,1729108.56,12000,4118078.98,21535.96,5328443.06,0,741.4,7997.49,310.63,1218.1,178.74,427.47,2.97,1018.07,5.32,1317.29,975
618,Butts County,208,89.66,232,3558,58.7,33.1,8.3,9.1,208,0,1098671.83,20005457.43,1465022.93,2138590.58,495290.24,1710630.4,0,2739685.28,40489.15,2044778.19,0,324.86,5915.27,433.18,632.34,146.45,505.8,0,810.08,11.97,604.61,971
765,Calhoun City,266,100,266,4186,63.1,30.2,6.7,6.9,267,46052.9,1006529.73,21318889.86,1843176.27,3228712.54,382645.13,1930685.96,0,2187660.94,32515.27,981603.35,10.99,240.22,5088.04,439.9,770.58,91.32,460.78,0,522.11,7.76,234.27,1033
619,Calhoun County,52,92.86,56,520,62.9,29.4,7.7,5.6,53,0,814483.8,3069089.4,284139.3,653340.11,161662.99,153115.27,90000,632473.74,3728.18,457047.45,0,1590.79,5994.32,554.96,1276.05,315.75,299.05,175.78,1235.3,7.28,892.67,866
620,Camden County,575,96.15,598,9771,61,32,7,7.4,567,0,1158024.14,54795477.69,4659103.8,7060733.01,1710024.59,3486865.71,0,6127286.13,41803.21,3968036.05,0,128.16,6064.13,515.62,781.4,189.25,385.89,0,678.1,4.63,439.14,1055
621,Candler County,127,96.21,132,2240,68.5,27.4,4.1,5.4,128,0,888405.03,12223180.04,563771.22,1361115.56,328332.49,590726.97,0,1474577.87,16716.13,1170717.72,0,422.25,5809.5,267.95,646.92,156.05,280.76,0,700.84,7.94,556.42,1011
622,Carroll County,952,95.49,997,15579,56.7,35.7,7.6,8.5,962,401204.38,2795967.9,92571881.94,3751633.21,12449526.42,2384382.64,4686023.02,9200,11487285.74,72649.22,8254525.01,27.56,192.04,6358.4,257.68,855.11,163.77,321.86,0.63,789.02,4.99,566.97,1013
766,Carrollton City,386,92.57,417,5527,64.4,29.5,6,6.1,384,0,2147094.21,30782487.89,2016398.52,4218922.51,528608.84,894720.84,0,3882761.39,48053.44,1802203.08,0,398.87,5718.46,374.59,783.75,98.2,166.21,0,721.3,8.93,334.8,1039
767,Cartersville City,333,93.02,358,4772,68.4,27.2,4.4,5,324,0,1410895.52,28264227.1,2033987.72,3207495.59,322657.17,2190730.01,120000,2464958.72,25363.69,1850325.89,0,303.22,6074.41,437.13,689.34,69.34,470.82,25.79,529.76,5.45,397.66,1049
623,Catoosa County,773,90.09,858,10977,62.1,30.8,7.1,7.2,776,0,2278415.69,75371748.06,3307073.61,9434893.88,1831095.45,4870623.51,0,8350338.1,58530.51,5697762.04,0,217.2,7185.1,315.26,899.42,174.56,464.31,0,796.03,5.58,543.16,1056
624,Charlton County,90,90.91,99,1712,58.8,33.1,8.1,8.5,89,0,792076.24,9963806.28,514688.29,1601302.98,493102.46,754479.1,0,1339350.04,8204.39,992993.58,0,495.67,6235.17,322.08,1002.07,308.57,472.14,0,838.14,5.13,621.4,966
626,Chattahoochee County,102,91.89,111,997,38.8,43.4,17.8,17.2,102,0,1064391.09,4927446.52,222416.49,916413.17,111738.11,498877.59,0,774271.15,12274.56,642610.8,0,1177.42,5450.72,246.04,1013.73,123.6,551.86,0,856.49,13.58,710.85,917
627,Chattooga County,176,86.7,203,2772,48.8,38.1,13.1,11.9,175,0,598599.12,17718196.33,1483331.32,2189860.83,518846.72,893497.55,0,1898770.55,24637.61,1604204.06,0,229.44,6791.18,568.54,839.35,198.87,342.47,0,727.78,9.44,614.87,965
628,Cherokee County,3011,92.33,3261,44305,64,30.6,5.4,5.1,2984,9793376.66,6138743.77,288966871.3,20231493.94,27642626.31,5096651.59,17270935.5,326187.64,26550666.58,165786.43,23260178.68,226.26,141.82,6676.07,467.41,638.63,117.75,399.01,7.54,613.41,3.83,537.39,1079
769,Chickamauga City,99,99,100,1298,72,25.1,2.9,2.2,101,0,849108.22,7283024.5,210952.16,1408873.88,208747.05,557525.74,0,844432.82,13170.03,170180.8,0,652.16,5593.72,162.02,1082.08,160.33,428.21,0,648.57,10.12,130.71,
629,Clarke County,601,82.44,729,13401,60.4,30.3,9.4,10.9,584,0,3033431.27,103534012.3,10263019.27,16558439.49,2000882.41,6406245.75,0,9647166,73411.62,9851201.14,0,239.32,8168.36,809.71,1306.39,157.86,505.42,0,761.12,5.79,777.22,967
630,Clay County,TFS,TFS,TFS,207,63.3,30.4,6.3,4.3,,0,461692.41,1519119.5,304204.32,366745.68,52699.12,96314.96,0,506117.28,23185.79,434116.06,0,2367.65,7790.36,1560.02,1880.75,270.25,493.92,0,2595.47,118.9,2226.24,
631,Clayton County,2943,77.84,3781,61547,56.4,32.4,11.2,13.1,2976,0,10795397.41,301270840.7,34916662.34,43102933.1,6550135.87,16355804.62,0,35461154.64,257885.53,26143112.26,0,197.28,5505.68,638.1,787.7,119.7,298.9,0,648.05,4.71,477.76,958
632,Clinch County,96,90.57,106,1312,55.6,35.6,8.8,8.2,97,0,733365.37,7574096.9,645311.3,1462580.34,191249.34,877567.84,0,787587,16369.7,615242.13,0,585.76,6049.6,515.42,1168.2,152.76,700.93,0,629.06,13.07,491.41,946
633,Cobb County,8162,90.29,9040,119052,64.7,29.1,6.2,6.7,8344,0,20811955.57,823970271,40140465.65,80257533.22,17737451.69,36978456.2,14245.49,76988455.7,471236.98,55801174.3,0,182.27,7216.1,351.54,702.87,155.34,323.85,0.12,674.24,4.13,488.69,1076
634,Coffee County,422,90.56,466,7961,61,32.4,6.6,7.7,428,0,1596210.45,44326950.07,2867462.2,5961714.5,1481146.82,4011219.56,0,4221894.61,48445.79,4310852.55,0,213.43,5926.86,383.4,797.13,198.04,536.33,0,564.5,6.48,576.39,983
635,Colquitt County,522,87.73,595,9507,55.7,35.7,8.6,8.2,522,0,2346170.74,58102420.81,2825541.63,8633577.9,1549720.06,5913955.29,0,5818531.64,72646.83,3857394.05,0,255.27,6321.66,307.42,939.35,168.61,643.45,0,633.07,7.9,419.69,1025
636,Columbia County,1887,92.77,2034,29525,56.4,36.7,6.9,5.9,1849,0,2767433.31,180627959.2,11011864.95,21123756.36,4509216.03,5429253.47,0,16573335.98,119634.37,10858228.4,0,99.16,6471.8,394.55,756.85,161.56,194.53,0,593.81,4.29,389.04,1072
771,Commerce City,89,92.71,96,1818,67.7,29.5,2.8,3.5,88,5441.8,641586.85,11071834.65,423223.37,1424084.05,377808.85,649682.54,3087,1198459,47801.49,517010.8,3.28,387.2,6681.86,255.42,859.44,228.01,392.08,1.86,723.27,28.85,312.02,1018
637,Cook County,202,94.84,213,3162,65,30.5,4.6,5.2,202,0,1720059.99,17745382.67,544537.69,2889625.9,404299.83,1396280.88,0,2020520.67,14643.13,1627295.09,0,572.02,5901.36,181.09,960.97,134.45,464.34,0,671.94,4.87,541.17,967
638,Coweta County,1590,92.82,1713,23601,59.3,33,7.7,7.1,1604,0,2173247.79,147998513.3,5407367.59,18052454.07,3220142.23,9294071.77,0,17719099.67,111582.86,11297480.03,0,96.79,6591.19,240.82,803.97,143.41,413.92,0,789.13,4.97,503.14,1073
639,Crawford County,93,80.87,115,1737,44.2,45.1,10.7,10,97,0,985641.09,9979008.93,153505.72,1271383.16,259668.87,690659.31,4500,1269868.99,15654.95,968074.66,0,602.1,6095.91,93.77,776.65,158.62,421.91,2.75,775.73,9.56,591.37,995
640,Crisp County,268,90.85,295,3840,43.8,39.7,16.5,14.1,266,0,1223995.09,22429947.34,1375794.92,3737543.39,901554.97,1637662.83,0,2674370.13,36027.58,2031539.4,0,332.16,6086.82,373.35,1014.26,244.66,444.41,0,725.74,9.78,551.3,994
641,Dade County,144,88.34,163,2179,48.5,41.9,9.6,9.1,147,0,950743.9,13539037.46,484222.16,1654991.24,416957.75,544755.63,0,1574796.4,14709.13,843316.86,0,457.97,6521.69,233.25,797.2,200.85,262.41,0,758.57,7.09,406.22,959
772,Dalton Public Schools,522,81.44,641,7927,62.7,31.4,6,6.6,527,0,1478089.3,56080054.66,4756559.9,6655663.57,1512896.81,2967906.21,0,5419486.02,0,3036312.71,0,185.55,7039.93,597.11,835.51,189.92,372.57,0,680.33,0,381.16,970
642,Dawson County,260,96.3,270,3764,54,39.2,6.8,6.8,263,0,1060146.77,27073895.95,3566259.44,4228187.69,986040.06,1795115.13,0,2956009.71,43881.05,2407940.82,0,296.21,7564.65,996.44,1181.39,275.51,501.57,0,825.93,12.26,672.8,1064
773,Decatur City,319,96.08,332,5823,73.3,23.3,3.3,2.8,304,360969.65,1985762.03,47668326.89,4057263.98,6613271.7,1516794.25,4144403.14,0,6125142.6,946114.71,2597512.31,62.72,345.05,8282.94,705,1149.13,263.56,720.14,0,1064.32,164.4,451.35,1147
643,Decatur County,335,88.86,377,4870,49.8,37.1,13.1,12.3,345,0,698842.63,27390601.48,1199767.86,4839240.83,1036197.4,2143188.29,0,3035461.6,45716,2268426.64,0,154,6035.83,264.38,1066.38,228.34,472.28,0,668.9,10.07,499.87,1018
644,DeKalb County,5365,77.97,6881,107328,59.4,30.6,10,11.9,5398,0,26277817.71,764141336,37255108,115388244.4,14209788.41,74650206.65,140438,74354458.51,334001.25,58811052.08,0,262.73,7640.11,372.49,1153.69,142.07,746.38,1.4,743.42,3.34,588.01,966
645,Dodge County,201,91.78,219,3167,54.1,38.5,7.4,7.9,204,0,808586.43,18783176.26,779854.95,2229638.28,517842.51,1429003.95,0,1489625.26,27468.1,1700624.43,0,270.61,6286.2,261,746.2,173.31,478.25,0,498.54,9.19,569.15,979
646,Dooly County,81,90,90,1248,46.3,40.5,13.2,12.9,75,0,834393.94,6559429.55,537350.68,1178808.17,255829.85,341769.81,0,952356.01,15473.33,635546.59,0,728.73,5728.76,469.3,1029.53,223.43,298.49,0,831.75,13.51,555.06,795
647,Dougherty County,804,85.9,936,14749,66,25.3,8.7,9.7,767,0,5084444.66,79340727.63,13015440.53,14470426.66,2522638.18,4528206.31,0,10421049.64,89018.48,5481330.26,0,373.12,5822.32,955.12,1061.89,185.12,332.3,0,764.74,6.53,402.24,912
648,Douglas County,1988,90.36,2200,29001,59,33.1,7.9,8.7,2039,0,4084885.28,177827602.7,13963250.81,16013850.7,5202715.64,9122712.13,0,20272450.96,98080.47,12041950.25,0,151.79,6607.74,518.85,595.04,193.32,338.98,0,753.29,3.64,447.46,995
774,Dublin City,138,93.24,148,2404,53.4,37.9,8.7,11.1,141,0,1186177.67,11610293.9,925185.64,2405799.74,276310.44,978361.71,0,1714106.3,12171.68,1396056.32,0,551.97,5402.65,430.52,1119.5,128.58,455.26,0,797.63,5.66,649.63,937
649,Early County,155,89.08,174,1922,53.5,35.9,10.6,9.2,160,0,615240.24,14155295.04,424281.47,2299483.48,404929.23,642989.9,0,1307042.8,18690.7,961073.4,0,331.84,7635,228.85,1240.28,218.41,346.81,0,704.99,10.08,518.38,972
650,Echols County,43,97.73,44,855,68.1,28.7,3.3,3.4,43,0,627634.12,5134927.18,74292.69,717005.89,143472.37,202696.37,0,518541.04,10477.07,675530.27,0,738.39,6041.09,87.4,843.54,168.79,238.47,0,610.05,12.33,794.74,955
651,Effingham County,750,90.47,829,13136,58.4,36,5.6,6.1,756,0,3975516.01,76627067.24,5918382.15,8717364.14,2098187.54,7782928.24,326487.86,8139082.06,60444.39,5962757.45,0,320.97,6186.59,477.83,703.81,169.4,628.36,26.36,657.12,4.88,481.41,1049
652,Elbert County,157,89.71,175,3035,57.4,34.7,7.9,6.4,152,0,1084981.49,19092936.75,1446670.58,2070304.9,553890.73,1524774.13,17682,2623586.83,21629.98,1795805.3,0,369.92,6509.7,493.24,705.87,188.85,519.87,6.03,894.51,7.37,612.28,968
653,Emanuel County,231,84.93,272,4136,56.2,35.3,8.4,8.5,233,0,1442692.47,25374802.25,1072293.32,2817442.9,708345.9,2162835.73,13156,2797505.66,114214.01,1970122.55,0,365.52,6428.88,271.67,713.82,179.46,547.97,3.33,708.77,28.94,499.14,968
654,Evans County,107,81.68,131,1943,53.6,34.3,12,13.1,109,0,934488.96,10164959.28,751033.69,1893995.52,404608.17,882888.94,0,1505605.26,56398.06,937870,0,500.26,5441.63,402.05,1013.92,216.6,472.64,0,806,30.19,502.07,950
655,Fannin County,217,95.18,228,3049,58.1,33.8,8.1,9.1,217,0,1498261.68,22450621.68,1514182.56,2633736.21,735631.71,1121760.01,0,2467102.5,15218.28,2073112.93,0,525.89,7880.18,531.48,924.44,258.21,393.74,0,865.95,5.34,727.66,1043
656,Fayette County,1612,94.16,1712,21132,65.5,29.5,4.9,4.7,1595,0,2931332.78,151470592.1,13316789.57,15311727.88,3552749.74,12537180.34,0,14458273.01,102056.25,7861612.31,0,142.79,7378.37,648.68,745.86,173.06,610.71,0,704.29,4.97,382.95,1101
657,Floyd County,620,95.09,652,9704,68.6,26.3,5.1,6.1,611,0,3711284.79,63876200.88,3745390.52,10711752.63,1536531.41,3299539.02,0,7709098.29,115584.56,5240606.71,0,402.7,6931.01,406.4,1162.3,166.72,358.02,0,836.49,12.54,568.64,1064
658,Forsyth County,3508,97.01,3616,51917,63.7,31.4,4.8,4.1,3517,2371450,4207633.32,351177129.8,21010115.56,35894818.66,3686065.92,10388062.32,747401.5,28947068.47,850455,20723511.76,46.7,82.85,6915.11,413.72,706.81,72.58,204.55,14.72,570,16.75,408.07,1130
659,Franklin County,253,92,275,3826,56.5,34.8,8.7,9.5,248,0,1219796.82,26177225.11,1772588.83,2646240.07,617614.14,1392183.87,0,2454694.03,25176.51,2895048.03,0,339.97,7295.77,494.03,737.53,172.13,388.01,0,684.14,7.02,806.87,986
660,Fulton County,6742,87.14,7737,99581,62.1,30.6,7.3,8.9,6640,0,18646219.06,679941359.2,81022086.85,87051396.04,15366626.55,66459041.34,122791.31,60285089.24,11132.25,53692259.82,0,199.28,7266.89,865.93,930.36,164.23,710.28,1.31,644.3,0.12,573.84,1033
776,Gainesville City,483,88.95,543,8375,57.9,31.9,10.2,10.2,465,0,2686345.69,47276105.47,3823560.35,6763966.36,1097140.42,2608508.58,0,5872395.56,80007.08,4214606.33,0,313.02,5508.75,445.53,788.16,127.84,303.95,0,684.27,9.32,491.1,984
661,Gilmer County,263,91.32,288,4289,52.7,36.7,10.6,11.4,263,0,1258737.12,27463340.18,1297085.8,3571472.65,663629.26,1709672.7,0,2800205.71,37015.89,2716701.89,0,301.13,6570.18,310.31,854.42,158.76,409.01,0,669.91,8.86,649.93,1003
662,Glascock County,36,94.74,38,548,48,41.4,10.6,9.1,35,0,500672.8,3526134.46,180269.78,566155.94,122152.59,249051.78,0,388330,3493.04,426941.91,0,951.85,6703.68,342.72,1076.34,232.23,473.48,0,738.27,6.64,811.68,1025
663,Glynn County,779,93.74,831,13842,56.3,35.8,7.9,8.9,781,309940.73,2293607.8,91354183.28,6011322.89,13181773.61,2167223.37,3774684.67,368814.39,7976115.13,79083,5840987.9,23.8,176.13,7015.37,461.63,1012.27,166.43,289.87,28.32,612.51,6.07,448.55,1053
664,Gordon County,463,93.91,493,6649,54.8,34.8,10.4,10.7,463,0,1420893.64,40499738.01,2749299.71,6166721.47,979521.25,1832944.11,0,4889940.04,29558,3315795.67,0,224.22,6391,433.85,973.13,154.57,289.24,0,771.65,4.66,523.24,1011
665,Grady County,246,91.11,270,4688,61.8,30.9,7.3,6.5,251,410793.78,827356.77,26521595.75,1911225.74,3770938.6,808914.71,1548901.51,0,2922727.53,29742.17,1688969.88,89.67,180.61,5789.48,417.21,823.17,176.58,338.11,0,638.01,6.49,368.69,923
666,Greene County,146,90.68,161,2544,63.8,30,6.1,5.1,141,0,1439554.77,14111307.18,958644.63,1993866.96,452426.38,998138.15,0,1371976.34,20968.49,1547475.87,0,577.21,5658.1,384.38,799.47,181.41,400.22,0,550.11,8.41,620.48,988
726,Griffin-Spalding County,639,91.29,700,10842,55.1,35.2,9.7,12.2,631,0,2314197.29,60400508.84,7429636.83,9289855.92,1761467.62,2413966.98,0,8787203.11,66835.54,4853506.21,0,236.63,6175.92,759.68,949.88,180.11,246.83,0,898.49,6.83,496.27,959
667,Gwinnett County,12156,85.97,14140,195131,68.5,25.7,5.7,6.4,12023,0,35053378.33,1141549155,100651771.5,130025512.8,24030338.14,56597501.45,51872.99,149343569.9,500072.62,113862760,0,187.36,6101.44,537.97,694.97,128.44,302.51,0.28,798.22,2.67,608.58,1077
668,Habersham County,451,95.75,471,7225,64.3,30.5,5.2,6,432,752.5,1110183.11,51124562.69,2051678.15,7585518.36,1673159.76,2332408.79,0,5083839.53,42966.27,4145315.76,0.11,158.12,7281.66,292.22,1080.4,238.31,332.2,0,724.09,6.12,590.42,1060
669,Hall County,1980,90.49,2188,28619,52.6,37.9,9.5,9.3,1966,0,5427225.45,181265724.1,13456394.42,18566228.41,5116280.9,12203092.76,0,17695740.07,149621.33,13839195.5,0,193.3,6456.02,479.27,661.26,182.22,434.63,0,630.26,5.33,492.9,1039
670,Hancock County,55,90.16,61,800,45.1,38.9,16,14.8,54,0,817839.58,5048240.27,862595.81,1894242.29,194731.39,263942.58,0,663413.03,14215.57,725445.55,0,1099.25,6785.27,1159.4,2546.02,261.74,354.76,0,891.68,19.11,975.06,883
671,Haralson County,209,98.12,213,3411,63.4,32.3,4.4,8.4,213,0,1292101.18,23712712.12,1257424.93,2904186.22,712474.85,1100858.31,0,2466805.82,20290.86,1858586.25,0,408.63,7499.28,397.67,918.46,225.32,348.15,0,780.14,6.42,587.79,991
672,Harris County,398,91.08,437,5552,65.9,29.2,4.9,6.7,383,0,1761587.59,34339529,1840855,3839526.04,952138.41,2710996.2,32000,4084540.24,43067.49,4432340.09,0,329.95,6431.83,344.79,719.15,178.34,507.77,5.99,765.04,8.07,830.18,1053
673,Hart County,219,95.22,230,3595,56.1,36.7,7.2,7.5,217,0,735224.61,22415392.49,1345614.05,3421708.23,519966.6,1297703.2,0,2365119.86,23443.39,2013212.85,0,211.88,6459.77,387.79,986.08,149.85,373.98,0,681.59,6.76,580.18,977
674,Heard County,136,89.47,152,2115,62.8,30.9,6.2,6.6,138,0,1054559.24,12682229.74,575567.75,2253618.37,502486.05,727534.14,0,1749399.23,13759.16,997951.4,0,526.75,6334.78,287.5,1125.68,250.99,363.4,0,873.83,6.87,498.48,994
675,Henry County,3298,89.55,3683,47246,60,33,7,8.7,3336,0,5009937.54,272507959.5,16333541,36935896.53,6208693.84,15979797.97,0,29628603.47,109922.91,18617415.94,0,116.02,6310.68,378.25,855.35,143.78,370.06,0,686.13,2.55,431.14,999
676,Houston County,1951,92.46,2110,31897,62.6,31.4,6,6.7,1964,0,4137172.92,193144747.2,11435452.29,24147727.73,4211286.88,14655555.84,0,21746332.53,0,13281712.88,0,140.17,6543.95,387.45,818.15,142.68,496.55,0,736.79,0,450,1045
677,Irwin County,118,93.65,126,1691,68.4,24.7,6.9,7,116,191388.27,933143.03,11590858.16,711169.73,1546649.99,227772.09,636658.6,0,973539.52,19957.72,798952.27,117.7,573.89,7128.45,437.37,951.2,140.08,391.55,0,598.73,12.27,491.36,938
678,Jackson County,464,93.36,497,8478,60.3,33.4,6.3,6.5,465,0,2377735.03,54524476.52,5135917.77,6852763.96,1183242.49,2281305.61,0,4783906.54,28438.6,6102714.68,0,291.53,6685.2,629.71,840.21,145.08,279.71,0,586.55,3.49,748.25,1038
679,Jasper County,157,95.15,165,2442,62.3,33,4.8,4.6,152,0,726527.38,14594132.26,668234.02,1986554.34,290101.62,1141149.58,0,1598265.51,52987.27,1991754.11,0,315.06,6328.77,289.78,861.47,125.8,494.86,0,693.09,22.98,863.73,958
680,Jeff Davis County,187,93.03,201,3053,59.9,32.6,7.5,14.6,187,0,1118364.36,17112376.4,1059774.81,2105753.64,455237.12,1342829.79,0,1548683.34,26245.64,1885239.8,0,378.08,5785.12,358.27,711.88,153.9,453.97,0,523.56,8.87,637.34,995
779,Jefferson City,288,98.97,291,4012,63.3,31.8,5,4.1,288,0,1005835.25,23739079.12,1103370.85,2021472.76,557154.51,1178956.56,0,2166791.32,29117.33,929545.61,0,256.85,6062.07,281.76,516.21,142.28,301.06,0,553.32,7.44,237.37,1110
